음식명,GI지수,분류
두부 부침,46,저GI
백설탕,109,고GI
바게트빵,93,고GI
딸기잼,82,고GI
팥,45,저GI
맥아당,105,고GI
식빵,91,고GI
파인애플,65,중GI
완두콩,45,저GI
초콜릿,90,고GI
떡,85,고GI
건포도,57,중GI
유부,43,저GI
찹쌀떡,88,고GI
우동,85,고GI
바나나,55,저GI
두부 부침,42,저GI
벌꿀,88,고GI
롤빵,83,고GI
포도,50,저GI
연두부,42,저GI
도넛,86,고GI
베이글,75,고GI
망고,49,저GI
비지,35,저GI
캐러멜,86,고GI
콘푸레이크,75,고GI
멜론,41,저GI
청국장,33,저GI
감자퇴김,85,고GI
라면,73,고GI
복숭아,41,저GI
된장,33,저GI
쇼트케이크,82,고GI
크로와상,70,고GI
감,37,저GI
콩,30,저GI
핫케이크,80,고GI
파스타,65,중GI
사과,36,저GI
풋콩,30,저GI
쿠키,77,고GI
흰죽,57,중GI
배,36,저GI
캐슈너트,29,저GI
메이플 시럽,73,고GI
현미,56,중GI
키위,35,저GI
아몬드,25,저GI
크래커,70,고GI
밀가루,55,저GI
블루베리,34,저GI
두유,23,저GI
카스텔라,69,중GI
호밀빵,55,저GI
자두,34,저GI
피스타치오,23,저GI
푸딩,52,저GI
오트밀,55,저GI
레몬,34,저GI
땅콩,20,저GI
코코아,47,저GI
메밀국수,54,저GI
귤,33,저GI
톳,19,저GI
젤리,46,저GI
중화면,50,저GI
오렌지,31,저GI
다시마,17,저GI
과당,30,저GI
보리,50,저GI
자몽,31,저GI
미역,16,저GI
커피프림,24,저GI
통밀빵,50,저GI
살구,29,저GI
김,15,저GI
녹차/홍차,10,저GI
현미죽,47,저GI
딸기,29,저GI
구운어묵,55,저GI
감자,90,고GI
연유,82,고GI
참치통조림,50,저GI
당근,80,고GI
아이스크림,65,중GI
베이컨,49,저GI
옥수수,75,고GI
생크림,39,저GI
돼지고기,46,저GI
호박,65,중GI
크림치즈,33,저GI
소시지,46,저GI
밤,60,중GI
요구르트,33,저GI
닭/오리고기,45,저GI
고구마,55,저GI
마가린,31,저GI
양고기,45,저GI
양파,30,저GI
가공치즈,31,저GI
굴,45,저GI
토마토,30,저GI
탈지유,30,저GI
바지락,44,저GI
송이버섯,29,저GI
버터,30,저GI
전복,44,저GI
대파,28,저GI
달걀,30,저GI
장어구이,43,저GI
표고버섯,28,저GI
저지방유,26,저GI
대합,43,저GI
생강,27,저GI
플레인 요구르트,25,저GI
가리비,42,저GI
피망,26,저GI
우유,25,저GI
모시조개,40,저GI
무,26,저GI
참치/전갱이,40,저GI
죽순,26,저GI
오징어/낙지,40,저GI
부추,26,저GI
빙어,40,저GI
브로콜리,25,저GI
말린멸치,40,저GI
양송이,24,저GI
연어알,40,저GI
샐러리,24,저GI
고등어,40,저GI
오이,23,저GI
